"codigo_ibge","safra_soja","latitude","longitude","area_total","n_sinistros","n_apolices","sum_indenizacao_total","sum_total_premios","tipo_solo","awc_ana","area_total_irrigada_fertigada_percentual","X","PC_Prec_1","PC_Prec_2","PC_Prec_3","PC_Prec_4","PC_Temp_1","PC_Temp_2"
5200050,1,-16.7573,-49.4412,0,0,0,0,NA,"PVe",0.118320216255862,0.00920778197088388,2,0.0268254791400451,0.000172817511383675,-0.0129805290583794,-0.00941475198574768,-0.771669554622072,0.0666015546653219
5200050,2,-16.7573,-49.4412,0,0,0,0,NA,"PVe",0.118320216255862,0.00920778197088388,3,1.75185505457295,1.12889696377023,0.837601288147099,0.802497359102661,-2.51905137218154,0.807170308710094
5200050,4,-16.7573,-49.4412,428,0,2,0,51159.09,"PVe",0.118320216255862,0.00920778197088388,5,0.0198029592916771,-0.00358076738763783,-0.0039064436054854,0.00628781882392163,-0.747951037750074,-0.163826428742027
5200050,5,-16.7573,-49.4412,428.15,0,2,0,51497.33,"PVe",0.118320216255862,0.00920778197088388,6,2.76010809743935,-1.21129881406079,-1.10645153353259,-0.581391389601303,-2.56845721686655,0.934460864812325
5200050,6,-16.7573,-49.4412,607.27,0,3,0,148166.08,"PVe",0.118320216255862,0.00920778197088388,7,2.70657668820703,-0.474913203809637,-0.43884382246074,0.992588138990271,-2.16100916996591,0.889187409751331
3100104,1,-18.4831,-47.3916,0,0,0,0,NA,"CXbd",0.122893775324756,0.00492561517191483,10,2.41385219939826,-0.00494375385438064,-0.595469092534765,-1.14608574591596,-1.10872459721232,0.807803239067145
3100104,3,-18.4831,-47.3916,110,1,2,117174.219542232,16724.69,"CXbd",0.122893775324756,0.00492561517191483,12,0.0292224708976285,0.0115393811311132,0.00418715017030084,0.000411052111255465,-0.038443132812718,0.474152171317237
3100104,4,-18.4831,-47.3916,183,0,2,0,32851.68,"CXbd",0.122893775324756,0.00492561517191483,13,1.87167937212638,0.0441680668583207,1.18849361469533,1.14140507135361,-0.915398260192058,0.382625908066166
3100104,6,-18.4831,-47.3916,1608.19,0,12,0,252936.63,"CXbd",0.122893775324756,0.00492561517191483,15,0.0311368414366301,0.00819372998098042,-0.0032998876023566,0.00858898581225882,-0.0945886870608018,0.442806989479213
5200100,1,-16.197,-48.7057,1468.2,0,8,0,130138.78,"LVd",0.119240268728594,0.00516168819587283,18,2.40792107181371,-0.506463620354056,-1.54978442188265,-1.99858642141822,-1.48831046496236,1.35757982272718
5200100,4,-16.197,-48.7057,919.5,0,7,0,113652.79,"LVd",0.119240268728594,0.00516168819587283,21,0.0216073374863653,-0.00515255963053421,-0.00374376640713028,0.00672283894299257,-0.317896869903466,0.205468717876936
5200100,5,-16.197,-48.7057,5527.9,0,34,0,487624.52,"LVd",0.119240268728594,0.00516168819587283,22,2.85928073443809,-1.46115299072429,-1.14728566434416,-0.723954740557936,-1.56077358642856,1.36674886356756
4100103,2,-23.3049,-50.3133,1284.14,0,18,0,152925.2,"NVe",0.126585217995899,0.00188005264147396,67,-0.0107403172225769,0.00944058350745951,-0.00163597360279934,-0.00479164723530629,0.177747015651138,-0.143645256615189
4100103,3,-23.3049,-50.3133,583.97,3,12,282503.269577987,80316.91,"NVe",0.126585217995899,0.00188005264147396,68,-0.348676023661005,1.05429017825274,-0.108610140083753,-0.95242399715878,0.861590720655019,0.4145410220623
4100103,5,-23.3049,-50.3133,3105.03,0,64,0,615318.5,"NVe",0.126585217995899,0.00188005264147396,70,0.0127925698157866,0.0123021365453527,0.00194923184175103,0.000424373365467342,0.193993380589076,0.293016514070502
4100103,6,-23.3049,-50.3133,3617.38,0,90,0,1049518.67,"NVe",0.126585217995899,0.00188005264147396,71,-0.0344886479151124,1.95567158713557,0.379819749954858,-0.436833456996768,0.623872040336769,0.304078528614598
4200051,2,-27.6126,-51.0233,0,0,0,0,NA,"NXe",0.153920281169814,0.00084204499046384,75,-0.0237717168541139,-0.0147915047552661,-0.00356511243117875,0.000519806691900143,2.12524299363519,0.85007530899478
4200051,4,-27.6126,-51.0233,0,0,0,0,NA,"NXe",0.153920281169814,0.00084204499046384,77,-0.0284369333621769,-0.00629086499869878,0.0123076846630004,0.00916967975509904,1.96910397369458,1.04627889339051
4200051,6,-27.6126,-51.0233,89.5,1,5,14219.4526238297,30406.17,"NXe",0.153920281169814,0.00084204499046384,79,-0.0470317243192826,-0.00349041564392464,0.021333719864566,-0.0101547860452647,1.98699344044812,1.20370371387122
4200101,1,-26.5716,-52.3229,6342.23,0,52,0,987491.93,"LBd",0.132810576687968,0.00165619837482914,90,-5.08968537183834,-3.28740666135571,2.71443802825217,0.458959476764681,4.8808350939093,0.873030688687214
4200101,2,-26.5716,-52.3229,5076.75,0,57,0,790347.37,"LBd",0.132810576687968,0.00165619837482914,91,-2.147535679015,-2.25440488557996,-1.44972361414194,0.547182642623937,5.66004616029215,0.297572754277199
4200101,4,-26.5716,-52.3229,2911.33,0,34,0,565648.57,"LBd",0.132810576687968,0.00165619837482914,93,-0.0330131291451886,-0.0136483832151138,0.0130713567679947,0.00849766944767303,1.78488748323896,0.852245919122636
4200101,6,-26.5716,-52.3229,4611.23,11,87,713911.997030475,1458508.81,"LBd",0.132810576687968,0.00165619837482914,95,-0.060582308969337,-0.0117556070608587,0.0166377083783141,-0.0156396687307759,1.94686828244705,1.2994576375072
1700251,3,-9.62101,-49.1518,0,0,0,0,NA,"FFc",0.128522945592776,0,116,0.0337505380171009,0.00119366728668068,-0.00365096102003353,0.00453057067093317,-1.78695227601397,-0.255983462076225
1700251,4,-9.62101,-49.1518,449.29,0,3,0,66840.4,"FFc",0.128522945592776,0,117,2.28493746966111,-2.22653019536116,-1.38207243918253,0.39497671988091,-5.37978727161503,0.466194406421559
2100055,2,-4.94714,-47.5004,0,0,0,0,NA,"LAd",0.103094501789082,0,131,0.0166469802666122,-0.00152930886161344,-0.00910420946985933,0.00449190029709099,-1.77905585720007,-0.359921034628519
2100055,4,-4.94714,-47.5004,2064.83,0,4,0,341389.98,"LAd",0.103094501789082,0,133,0.0196560760990183,-0.0116635429291266,-0.0177512407118913,-0.00424301348014101,-1.70909314604709,-0.355783682625012
2100055,5,-4.94714,-47.5004,3783.65,0,11,0,801578.36,"LAd",0.103094501789082,0,134,2.46787941541106,-1.9267237663718,-2.97920130087215,-0.469227120685083,-5.29234432657667,0.456846433830396
2100055,6,-4.94714,-47.5004,4881,0,14,0,2061708.08,"LAd",0.103094501789082,0,135,2.882391174628,-3.03834460772869,-4.10741163142684,1.69712646548533,-5.26138836047008,0.720230284617402
